"Adrenaline Rush","000e40ce","Stamina regenerates 10x faster for 60 seconds.","Redguard racial power"
"Agent of Dibella","0010a766","You do more combat damage to the opposite sex.10% more melee damage","Reward from The Heart of Dibella."
"Agent of Mara","000cc79a","15% Resist Magic.","Reward from The Book of Love.
Listed in Active Effects menu under ""Resist Magic""."
"Ahzidal's Genius","xx027332","Increases your Enchanting skill by 10 points.","Acquired from wearing any four relics of Ahzidal"
"Ancestor's Wrath","000e40d4","For 60 seconds, opponents that get too close take 8 points per second of fire damage.","Dunmer racial power"
"Ancient Knowledge","0010eb60","Knowledge gained from the Lexicon gives you a 25% bonus when wearing Dwarven Armor and Blacksmithing increases 15% faster.","Reward from Unfathomable Depths. (See Bugs.)"
"Bardic Knowledge","xx029f12","Summons a spectral drum that plays for 300 seconds, improving Stamina Regen for you and nearby allies.","Acquired from the Black Book Untold Legends"
"Battle Cry","000e40c3","Targets flee for 30 seconds.","Nord racial power"
"Beast Form","00092c48","Take on the form of a werewolf.","Werewolf power"
"Berserker Rage","000aa026","You take half damage and do double damage for 60 seconds.","Orc racial power"
"Black MarketDB","xx01eec6","Summons a Dremora merchant for 15 seconds.","Acquired from the Black Book Untold Legends. Has 2000 gold, unaffected by Speechperks."
"Blessing of Akatosh",,"Magicka regenerates 10% faster.","Shrine of Akatosh"
"Blessing of Arkay",,"Increases your health by 25 points.","Shrine of Arkay"
"Blessing of Auriel",,"You are 10% more effective with missile weapons.","Shrine of Auriel"
"Blessing of Azura",,"Resist 10% of magic.","Raven Rock Temple"
"Blessing of Boethiah",,"One Handed weapons do 10% more damage.","Raven Rock Temple"
"Blessing of Dibella",,"Add 10 Speechcraft.","Shrine of Dibella"
"Blessing of Julianos",,"Increases your Magicka by 25 points.","Shrine of Julianos"
"Blessing of Kynareth",,"Increases your stamina by 25 points.","Shrine of Kynareth"
"Blessing of Mara",,"Healing spells restore 10% more.","Shrine of Mara"
"Blessing of Mephala",,"Prices are 10% better.","Raven Rock Temple"
"Blessing of Nocturnal",,"You are 10% harder to detect while sneaking.","Shrine of Nocturnal"
"Blessing of Stendarr",,"Block 10% more damage with your shield.","Shrine of Stendarr"
"Blessing of Talos",,"Time between shouts is reduced by 20%.","Shrine of Talos"
"Blessing of Zenithar",,"Prices are 10% better.","Shrine of Zenithar"
"Blood of the Ancients",,"Your Vampiric Drain spell absorbs Magicka and Stamina from your victims for x days","Drinking from the Bloodstone Chalice in Castle Volkihar."
